"date","copper_price","zinc_price","libor12","libor3","crude_oil","natural_gas","sp500","nasdaq","industrial_mining","pc_copper","pc_zinc","pc_gdp"
"1991-01-01","2409.64939088135","1199",7,6.375,"20.75","1.356","325.49",482.3,125.9416,"-3.01688","-5.21739",-1
"1991-04-01","2218.06802725677","1067.44995117188",7,6.1875,"18.79","1.25116666666667","379.68",475.92,127.252,"-7.95059","-10.97165",-0.5
"1991-07-01","2318.58300291138","1025.60009765625",5.75,5.625,"19.8766666666667","1.473125","380.23",526.88,126.0589,"4.53165","-3.92054",-0.1
"1991-10-01","2205.91849749756","1185.0791015625",4.3125,4.25,"20.51","1.848","386.88",586.34,121.5542,"-4.85920","15.54982",1.2
"1992-01-01","2231.78550956421","1217.77270507813",5.0625,4.36719,"18.2066666666667","1.26","416.08",603.77,124.9765,"1.17262","2.75877",2.9
"1992-04-01","2296.44193858643","1385.4091796875",4.3125,3.9375,"20.1233333333333","1.5915","407.41",563.6,134.2167,"2.89707","13.76583",3.2
"1992-07-01","2419.61418178101","1367.119140625",3.375,3.26563,"20.14","2.088","415.05",583.27,138.3357,"5.36361","-1.32019",3.7
"1992-10-01","2211.95028749237","1061.47619628906",4.0625,3.4375,"19.1866666666667","2.21275","412.5",676.95,136.3632,"-8.58252","-22.35672",4.4
"1993-01-01","2152.38020099945","996.760864257813",3.625,3.25,"18.1933333333333","2.168","435.23",690.13,129.4431,"-2.69310","-6.09673",3.3
"1993-04-01","1857.87070840454","928.227294921875",3.75,3.3125,"18.2433333333333","1.974","443.08",703.95,137.4846,"-13.68297","-6.87563",2.8
"1993-07-01","1858.24999750519","875.727294921875",3.5625,3.375,"16.4866666666667","2.25175","447.29",762.78,132.6008,"0.02042","-5.65594",2.3
"1993-10-01","1723.6250736618","975.534973144531",3.8125,3.375,"15.0666666666667","2.1176","463.9",776.8,138.5716,"-7.24472","11.39712",2.6
"1994-01-01","1913.17391866455","937.608703613281",4.75,3.9375,"13.95","2.1275","472.99",743.46,143.1592,"10.99710","-3.88774",3.4
"1994-04-01","2363.09102303009","966",5.8125,4.875,"16.05","1.962375","447.23",705.96,138.0523,"23.51679","3.02805",4.2
"1994-07-01","2504.84103139343","993.545471191406",6.3125,5.5,"16.7666666666667","1.48","451.4",764.29,141.4365,"5.99850","2.85150",4.3
"1994-10-01","2980.69999645081","1112.75",7.75,6.5,"16.5366666666667","1.6864","463.81",751.96,135.5029,"18.99757","11.99789",4.1
"1995-01-01","2919.67397804871","1021.69567871094",6.8125,6.25,"16.9033333333333","1.5196","465.25",817.21,138.7935,"-2.04737","-8.18282",3.5
"1995-04-01","2987.68194348755","1007.77270507813",5.98438,6.05859,"18.1366666666667","1.6287","507.91",933.45,141.9807,"2.32930","-1.36273",2.4
"1995-07-01","2910.42504276428","988.025024414063",6,5.95313,"16.1966666666667","1.627","557.37",1043.54,143.7615,"-2.58585","-1.95954",2.7
"1995-10-01","2918.21064537659","1017.15789794922",5.42578,5.625,"16.9866666666667","2.6724","582.92",1052.13,137.3034,"0.26751","2.94860",2.2
"1996-01-01","2563.34994940033","1063.25",5.72266,5.47266,"18.6333333333333","2.922","614.42",1101.4,140.7411,"-12.16022","4.53146",2.6
"1996-04-01","2177.59998270721","1009.40002441406",6.125,5.58203,"19.4766666666667","2.491","647.17",1185.02,147.2274,"-15.04867","-5.06466",4
"1996-07-01","1935.07143060913","998.976196289063",5.98828,5.625,"20.5433333333333","1.831625","644.07",1226.92,146.7506,"-11.13742","-1.03268",4.1
"1996-10-01","2264.59527826385","1036.54760742188",5.78906,5.5625,"23.16","3.8145","701.46",1291.03,146.6341,"17.02903","3.76099",4.4
"1997-01-01","2420.1842087265","1254.34216308594",6.27344,5.77344,"21.17","1.892375","766.22",1221.7,145.3401,"6.87050","21.01153",4.3
